date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:42	119/119	---MCZ	200	added ('OK')	text/plain	date:Thu,%2013%20Aug%202020%2012:31:32%20GMT	https://vipto.de/robots.txt		(from )
19:33:42	14090/14090	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2000:33:42%20GMT	https://vipto.de/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/vipto.de/index.html	(from )
19:33:43	4286/4286	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2027%20Jul%202020%2006:17:41%20GMT	https://vipto.de/assets/favicon.ico	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/vipto.de/assets/favicon.ico	(from https://vipto.de/)
19:33:43	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Nov%202020%2000:33:42%20GMT	http://fonts.googleapis.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/fonts.googleapis.com/index.html	(from https://vipto.de/)
19:33:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Nov%202020%2000:33:43%20GMT	http://www.googletagmanager.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/www.googletagmanager.com/index.html	(from https://vipto.de/)
19:33:43	160563/160563	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Oct%202020%2007:47:09%20GMT	https://vipto.de/assets/bootstrap.min.css?v=1603466867	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/vipto.de/assets/bootstrap.min28ac.css	(from https://vipto.de/)
19:33:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Nov%202020%2000:33:43%20GMT	http://adservice.google.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/adservice.google.com/index.html	(from https://vipto.de/)
19:33:44	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Nov%202020%2000:33:43%20GMT	http://www.google-analytics.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/www.google-analytics.com/index.html	(from https://vipto.de/)
19:33:44	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Nov%202020%2000:33:43%20GMT	http://stats.g.doubleclick.net/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/stats.g.doubleclick.net/index.html	(from https://vipto.de/)
19:33:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Nov%202020%2000:33:44%20GMT	http://pagead2.googlesyndication.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/pagead2.googlesyndication.com/index.html	(from https://vipto.de/)
19:33:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Nov%202020%2000:33:44%20GMT	http://tpc.googlesyndication.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/tpc.googlesyndication.com/index.html	(from https://vipto.de/)
19:33:44	11989/11989	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Aug%202020%2004:51:50%20GMT	https://vipto.de/assets/f49dae2c2269c486bb85979af55a7185.css?v=1603466867	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/vipto.de/assets/f49dae2c2269c486bb85979af55a718528ac.css	(from https://vipto.de/)
19:33:44	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Nov%202020%2000:33:44%20GMT	http://googleads.g.doubleclick.net/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/googleads.g.doubleclick.net/index.html	(from https://vipto.de/)
19:33:44	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://vipto.de/)
19:33:45	251/251	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Nov%202020%2000:33:44%20GMT	http://ajax.googleapis.com/	C:/Users/fried/Desktop/Website%20copies/Ill%20get%20it/ajax.googleapis.com/index.html	(from https://vipto.de/)
